,Unnamed: 0,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,R2_diff,MIbeh_only,sig_state,sig_any,sig_ubeh,sig_upup,sig_obeh
555,555.0,AMT018a-16-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.06362050896950665,95.6872,0.684992756807203,0.017680205259841097,-0.03779212721737592,-0.10346806525882077,0.0,active,0.46921507687833186,A1,TBD,DS,TBD,True,AMT,TIN,0.000609449818452179,-0.06153660794650236,False,True,False,False,False
193,193.0,AMT018a-16-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0020839010230042877,95.6872,0.6845477536738249,0.017716106837682787,0.011088439956176385,0.013313996894625743,0.0,active,0.4686056270598797,A1,TBD,DS,TBD,True,AMT,TIN,0.000609449818452179,-0.06153660794650236,False,True,False,False,False
554,554.0,AMT018a-16-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,95.6872,0.684992756807203,0.017680205259841097,0.3190326339313579,1.0345753036357372,0.0,baseline,0.46921507687833186,A1,TBD,DS,TBD,True,AMT,TIN,0.000609449818452179,-0.06153660794650236,False,True,False,False,False
192,192.0,AMT018a-16-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.6872,0.6845477536738249,0.017716106837682787,0.2980154471811026,0.9897732565725056,0.0,baseline,0.4686056270598797,A1,TBD,DS,TBD,True,AMT,TIN,0.000609449818452179,-0.06153660794650236,False,True,False,False,False
563,563.0,AMT018a-18-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.04106951933572536,85.0,0.9626281142721596,0.002813501868236529,0.14214442829719418,0.037794152727710535,0.0,active,0.9266528863871739,A1,TBD,DS,TBD,False,AMT,TIN,0.0036833682816184155,0.04278341984105862,False,True,False,False,False
197,197.0,AMT018a-18-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.001713900505333262,85.0,0.9607130258852304,0.0029768198275039173,0.009219684178919229,-0.010312324437688937,0.0,active,0.9229695181055555,A1,TBD,DS,TBD,False,AMT,TIN,0.0036833682816184155,0.04278341984105862,False,True,False,False,False
562,562.0,AMT018a-18-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,85.0,0.9626281142721596,0.002813501868236529,0.9928407619073882,0.987467422938996,0.0,baseline,0.9266528863871739,A1,TBD,DS,TBD,False,AMT,TIN,0.0036833682816184155,0.04278341984105862,False,True,False,False,False
196,196.0,AMT018a-18-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,85.0,0.9607130258852304,0.0029768198275039173,1.0341353676324692,1.0077456123360335,0.0,baseline,0.9229695181055555,A1,TBD,DS,TBD,False,AMT,TIN,0.0036833682816184155,0.04278341984105862,False,True,False,False,False
559,559.0,AMT018a-22-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.07137015104780342,85.0,0.5553966472486399,0.03028154406254412,0.011685936922102194,-0.06548117323377196,0.0,active,0.30846543577503016,A1,TBD,DS,TBD,False,AMT,TIN,-0.0012485126205396546,0.07394693883563613,False,True,False,False,False
203,203.0,AMT018a-22-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.002576787787832716,85.0,0.5565194950723378,0.030305866754291894,0.0003748552119285947,0.09938534155032536,0.0,active,0.3097139483955698,A1,TBD,DS,TBD,False,AMT,TIN,-0.0012485126205396546,0.07394693883563613,False,True,False,False,False
558,558.0,AMT018a-22-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,85.0,0.5553966472486399,0.03028154406254412,0.033567681348139235,1.0217190135548404,0.0,baseline,0.30846543577503016,A1,TBD,DS,TBD,False,AMT,TIN,-0.0012485126205396546,0.07394693883563613,False,True,False,False,False
202,202.0,AMT018a-22-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,85.0,0.5565194950723378,0.030305866754291894,0.03730158620769949,0.9232429993319397,0.0,baseline,0.3097139483955698,A1,TBD,DS,TBD,False,AMT,TIN,-0.0012485126205396546,0.07394693883563613,False,True,False,False,False
567,567.0,AMT018a-23-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.015238507114857419,95.0,0.8550724233175305,0.009445208268453138,0.03963834352433347,-0.056246149066744085,0.0,active,0.7311488491181142,A1,TBD,DS,TBD,True,AMT,TIN,0.0003902377389233269,0.01453877182211622,False,True,False,False,False
199,199.0,AMT018a-23-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0006997352927411986,95.0,0.8548442029862464,0.009326147015635257,0.004259887444955721,0.007193695853667844,0.0,active,0.7307586113791908,A1,TBD,DS,TBD,True,AMT,TIN,0.0003902377389233269,0.01453877182211622,False,True,False,False,False
566,566.0,AMT018a-23-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,95.0,0.8550724233175305,0.009445208268453138,0.93523648425992,1.0189130352652762,0.0,baseline,0.7311488491181142,A1,TBD,DS,TBD,True,AMT,TIN,0.0003902377389233269,0.01453877182211622,False,True,False,False,False
198,198.0,AMT018a-23-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.8548442029862464,0.009326147015635257,0.9454531054540996,0.9944333907130934,0.0,baseline,0.7307586113791908,A1,TBD,DS,TBD,True,AMT,TIN,0.0003902377389233269,0.01453877182211622,False,True,False,False,False
573,573.0,AMT018a-24-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.013521602603647443,98.0518,0.8793475653432103,0.010893224153290507,0.003820295431153512,0.04572801974737114,0.0,active,0.7732521406750316,A1,TBD,DS,TBD,True,AMT,TIN,-0.00012731575995550415,0.012271333012442742,False,True,False,False,False
207,207.0,AMT018a-24-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0012502695912047018,98.0518,0.879419954535367,0.010894506850210992,0.004894580022839382,0.004361630040065367,0.0,active,0.7733794564349871,A1,TBD,DS,TBD,True,AMT,TIN,-0.00012731575995550415,0.012271333012442742,False,True,False,False,False
572,572.0,AMT018a-24-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,98.0518,0.8793475653432103,0.010893224153290507,0.5254107837708022,0.9845249953256279,0.0,baseline,0.7732521406750316,A1,TBD,DS,TBD,True,AMT,TIN,-0.00012731575995550415,0.012271333012442742,False,True,False,False,False
206,206.0,AMT018a-24-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,98.0518,0.879419954535367,0.010894506850210992,0.5231266192702251,0.9966007827759203,0.0,baseline,0.7733794564349871,A1,TBD,DS,TBD,True,AMT,TIN,-0.00012731575995550415,0.012271333012442742,False,True,False,False,False
581,581.0,AMT018a-24-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.004891706923565307,95.0,0.7618515085203599,0.013200597970613638,-0.0251679666628868,-0.06731487421503311,0.0,active,0.580417721034748,A1,TBD,DS,TBD,True,AMT,TIN,-0.0010225365803181452,-0.008567555455035295,False,True,False,False,False
211,211.0,AMT018a-24-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.0036758485314699885,95.0,0.7625222997493687,0.013208665722609677,0.002955037681620603,-0.009227871479468,0.0,active,0.5814402576150661,A1,TBD,DS,TBD,True,AMT,TIN,-0.0010225365803181452,-0.008567555455035295,False,True,False,False,False
580,580.0,AMT018a-24-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,95.0,0.7618515085203599,0.013200597970613638,1.0785136366638894,1.0229675049440128,0.0,baseline,0.580417721034748,A1,TBD,DS,TBD,True,AMT,TIN,-0.0010225365803181452,-0.008567555455035295,False,True,False,False,False
