Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Babybell,bbl036e08_a_PTD.m,0.32,0.17,0.1,6,25,30,0.45,0.58,0.55,Hard,-0.954165253,-0.467698799,-1.281551566,0.813852766,0.327386312,0.874625182
Babybell,bbl038d02_a_PTD.m,0.88,0.95,0.33,10,52,103,0.84,0.83,0.54,Hard,1.644853627,1.174986792,-0.439913166,1.614899958,2.084766793,-0.367536813
Babybell,bbl038d03_a_PTD.m,0.79,0.73,0.25,11,58,89,0.67,0.66,0.59,Easy,0.612812991,0.806421247,-0.67448975,1.480910997,1.287302741,-0.065965748
Babybell,bbl038e03_a_PTD.m,0.82,0.83,0.23,12,56,84,0.77,0.75,0.43,Easy,0.954165253,0.915365088,-0.738846849,1.654211937,1.693012102,-0.088259119
Babybell,bbl039b04_a_PTD.m,0.97,0.83,0.32,3,15,25,0.81,0.86,0.4,Easy,0.954165253,1.880793608,-0.467698799,2.348492407,1.421864052,-0.706547405
Babybell,bbl039c04_a_PTD.m,0.98,0.95,0.39,10,47,138,0.81,0.82,0.32,Easy,1.644853627,2.053748911,-0.279319034,2.333067945,1.924172661,-0.887214938
Babybell,bbl039c05_a_PTD.m,0.82,0.96,0.41,12,57,138,0.86,0.79,0.28,Hard,1.750686071,0.915365088,-0.227544977,1.142910064,1.978231048,-0.343910056
Babybell,bbl039d04_a_PTD.m,0.96,0.94,0.37,8,48,98,0.84,0.82,0.26,Hard,1.554773595,1.750686071,-0.331853346,2.082539418,1.886626941,-0.709416362
Babybell,bbl039d05_a_PTD.m,0.98,0.94,0.32,9,48,84,0.9,0.85,0.27,Easy,1.554773595,2.053748911,-0.467698799,2.52144771,2.022472394,-0.793025056
Babybell,bbl039d07_a_PTD.m,0.74,0.62,0.26,13,62,124,0.69,0.72,0.31,Easy,0.305480788,0.643345405,-0.643345405,1.286690811,0.948826193,0
Babybell,bbl039d08_a_PTD.m,0.75,0.67,0.25,12,64,110,0.67,0.75,0.49,Hard,0.439913166,0.67448975,-0.67448975,1.3489795,1.114402916,0
Babybell,bbl040d03_a_PTD.m,0.83,0.75,0.24,4,18,29,0.75,0.8,0.57,Easy,0.67448975,0.954165253,-0.706302563,1.660467816,1.380792313,-0.123931345
Babybell,bbl040e03_a_PTD.m,0.75,0.5,0.32,2,12,19,0.53,0.6,0.17,Easy,0,0.67448975,-0.467698799,1.142188549,0.467698799,-0.103395476
Babybell,bbl040f03_a_PTD.m,0.47,0.57,0.23,7,34,61,0.64,0.55,0.35,Easy,0.176374165,-0.075269862,-0.738846849,0.663576987,0.915221014,0.407058356
Babybell,bbl041b03_a_PTD.m,0.96,0.83,0.46,3,13,28,0.82,0.84,0.38,Easy,0.954165253,1.750686071,-0.100433721,1.851119792,1.054598974,-0.825126175
Babybell,bbl041e03_a_PTD.m,0.98,0.94,0.37,9,48,89,0.83,0.78,0.32,Hard,1.554773595,2.053748911,-0.331853346,2.385602257,1.886626941,-0.860947782
Babybell,bbl041e04_a_PTD.m,0.96,0.9,0.3,10,49,86,0.81,0.8,0.32,Easy,1.281551566,1.750686071,-0.524400513,2.275086584,1.805952078,-0.613142779
Babybell,bbl041e07_a_PTD.m,0.98,0.94,0.35,9,48,91,0.91,0.83,0.24,Easy,1.554773595,2.053748911,-0.385320466,2.439069377,1.940094061,-0.834214222
Babybell,bbl041e08_a_PTD.m,0.85,0.75,0.26,4,20,31,0.71,0.8,0.49,Hard,0.67448975,1.036433389,-0.643345405,1.679778795,1.317835156,-0.196543992
Babybell,bbl043a06_a_PTD.m,0.98,0.94,0.41,8,41,104,0.78,0.78,0.34,Easy,1.554773595,2.053748911,-0.227544977,2.281293887,1.782318571,-0.913101967
Babybell,bbl043a09_a_PTD.m,0.88,0.75,0.7,2,4,10,0.8,0.7,0.24,Easy,0.67448975,1.174986792,0.524400513,0.650586279,0.150089237,-0.849693652
Babybell,bbl043b03_a_PTD.m,0.99,0.95,0.46,10,45,151,0.8,0.81,0.28,Hard,1.644853627,2.326347874,-0.100433721,2.426781595,1.745287347,-1.112957077
Babybell,bbl043b04_a_PTD.m,0.94,0.75,0.51,2,9,41,0.88,0.71,0.17,Easy,0.67448975,1.554773595,0.025068908,1.529704686,0.649420842,-0.789921251
Babybell,bbl043b05_a_PTD.m,0.92,0.95,0.39,10,51,132,0.84,0.72,0.31,Easy,1.644853627,1.40507156,-0.279319034,1.684390595,1.924172661,-0.562876263
Babybell,bbl043d03_a_PTD.m,0.94,0.94,0.4,9,49,136,0.85,0.81,0.27,Easy,1.554773595,1.554773595,-0.253347103,1.808120698,1.808120698,-0.650713246
Babybell,bbl043d04_a_PTD.m,0.93,0.89,0.34,9,45,97,0.78,0.81,0.29,Hard,1.22652812,1.475791028,-0.412463129,1.888254158,1.638991249,-0.531663949
Babybell,bbl043e03_a_PTD.m,0.88,0.75,0.42,2,8,19,0.74,0.61,0.27,Easy,0.67448975,1.174986792,-0.201893479,1.376880271,0.876383229,-0.486546656
Babybell,bbl044b03_a_PTD.m,0.88,0.92,0.44,6,26,71,0.88,0.77,0.2,Hard,1.40507156,1.174986792,-0.150969215,1.325956008,1.556040776,-0.512008788
Babybell,bbl044c06_a_PTD.m,0.94,0.94,0.42,9,48,139,0.81,0.81,0.39,Hard,1.554773595,1.554773595,-0.201893479,1.756667074,1.756667074,-0.676440058
Babybell,bbl044e03_a_PTD.m,0.93,0.94,0.48,9,42,135,0.74,0.69,0.29,Easy,1.554773595,1.475791028,-0.050153583,1.525944612,1.604927178,-0.712818722
Babybell,bbl046a05_a_PTD.m,0.79,0.92,0.36,6,28,50,0.79,0.65,0.52,Easy,1.40507156,0.806421247,-0.358458793,1.16488004,1.763530354,-0.223981227
Babybell,bbl049d05_a_PTD.m,0.9,0.93,0.34,7,31,67,0.88,0.87,0.39,Hard,1.475791028,1.281551566,-0.412463129,1.694014695,1.888254158,-0.434544218
Babybell,bbl050c03_a_PTD.m,0.83,0.91,0.21,11,54,82,0.8,0.64,0.73,Easy,1.340755034,0.954165253,-0.806421247,1.7605865,2.147176281,-0.073872003
