,A1_cellid,A1_snr,PEG_cellid,PEG_snr
150,TNC017a-25-1,0.06033826119136045,ARM025a-36-3,0.0610075917580112
151,TNC017a-07-1,0.06177876980060516,ARM017a-04-4,0.06170449002112882
152,TNC015a-37-1,0.06223404643908991,ARM024a-35-2,0.062268839955046125
153,TNC010a-21-1,0.06245757539813171,ARM026b-20-2,0.06244816014997629
154,DRX006b-85-1,0.06278558555347019,ARM019a-39-3,0.06281354866037249
155,TNC018a-45-1,0.064521306104683,ARM017a-02-2,0.06432295031297518
156,TNC018a-45-1,0.064521306104683,ARM022b-20-2,0.06443630565982766
157,TNC018a-05-1,0.06509631544748852,ARM027a-09-8,0.06566490123299402
158,TNC018a-05-1,0.06509631544748852,ARM022b-07-1,0.06582503435463281
159,TNC018a-05-1,0.06509631544748852,ARM024a-58-1,0.06592490200163402
160,DRX008b-99-3,0.06717380619276818,ARM028b-29-1,0.06718742276759347
161,ARM031a-37-2,0.067301291098189,ARM019a-38-1,0.06752283115978798
162,DRX007a-93-1,0.06819154220753372,ARM024a-52-1,0.06811108637188702
163,ARM032a-34-2,0.06886036802142505,ARM023a-39-2,0.06884776162585621
164,TNC016a-40-1,0.06939332745355603,ARM021b-20-3,0.06941289875269699
165,TNC014a-34-1,0.0695974622386765,ARM017a-10-7,0.06955627037498721
166,TNC015a-48-1,0.0698364790027772,ARM019a-55-3,0.06974223005480129
167,TNC015a-48-1,0.0698364790027772,ARM025a-05-1,0.06976998110743506
168,DRX007a-97-3,0.07091532624926514,ARM028b-62-2,0.07098181941392485
169,DRX006b-70-2,0.07133016894867826,ARM024a-05-2,0.07128347226977688
170,DRX007a-128-2,0.07188723504119021,ARM024a-36-4,0.07179311660275725
171,DRX007a-128-2,0.07188723504119021,ARM021b-07-4,0.07199552421044836
172,TNC013a-33-2,0.07256961024955816,ARM025a-06-2,0.07247533193131131
173,TNC013a-33-2,0.07256961024955816,ARM019a-31-2,0.07269922629477249
174,ARM032a-36-4,0.07312866798235992,ARM027a-48-4,0.07316299640302076
175,TNC008a-15-5,0.07397385934921462,ARM019a-32-2,0.07387288196112038
